time,Solar_Radiation_Wm2,Outdoor_Temp_C,Dew_Point_C,Wind_Speed_ms,Wind_Dir_deg,Humidity_pct,Rain_mm,PM25_ugm3,PM10_ugm3,dew_point_2m (°C)
2026-09-20 00:00:00,0.0,23.9,21.6,1.04,107.0,87.0,0.0,8.5,11.1,21.6
2026-09-20 01:00:00,0.0,23.6,21.5,0.51,101.0,88.0,0.0,9.0,12.6,21.5
2026-09-20 02:00:00,0.0,23.5,21.4,0.14,45.0,88.0,0.0,8.5,14.9,21.4
2026-09-20 03:00:00,0.0,23.2,21.1,0.5,270.0,88.0,0.0,7.4,14.0,21.1
2026-09-20 04:00:00,0.0,22.6,20.9,0.89,297.0,90.0,0.0,7.3,14.0,20.9
2026-09-20 05:00:00,0.0,22.2,21.7,1.2,318.0,97.0,0.0,8.7,14.7,21.7
2026-09-20 06:00:00,0.0,22.2,21.4,1.14,322.0,95.0,0.0,10.8,16.1,21.4
2026-09-20 07:00:00,31.0,22.6,21.6,1.03,331.0,94.0,0.0,6.9,11.1,21.6
2026-09-20 08:00:00,191.0,23.9,21.4,1.25,331.0,86.0,0.0,7.9,12.8,21.4
2026-09-20 09:00:00,403.0,25.8,20.8,1.4,356.0,74.0,0.0,7.3,12.0,20.8
2026-09-20 10:00:00,561.0,27.9,19.7,1.71,7.0,61.0,0.0,6.4,10.0,19.7
2026-09-20 11:00:00,603.0,28.7,18.8,1.36,17.0,55.0,0.0,6.3,9.7,18.8
2026-09-20 12:00:00,636.0,29.1,19.7,1.0,53.0,57.0,0.0,6.0,8.2,19.7
2026-09-20 13:00:00,630.0,27.8,22.7,1.84,103.0,74.0,0.0,7.0,9.6,22.7
2026-09-20 14:00:00,539.0,26.9,22.1,2.1,90.0,75.0,0.0,6.4,11.1,22.1
2026-09-20 15:00:00,487.0,26.8,22.0,1.91,84.0,75.0,0.0,5.8,8.8,22.0
2026-09-20 16:00:00,385.0,26.9,20.8,1.92,81.0,69.0,0.0,5.0,8.1,20.8
2026-09-20 17:00:00,229.0,26.6,21.6,2.0,87.0,74.0,0.0,4.2,7.2,21.6
2026-09-20 18:00:00,80.0,25.9,21.6,1.6,86.0,77.0,0.0,4.1,6.7,21.6
2026-09-20 19:00:00,2.0,25.3,22.0,1.32,81.0,82.0,0.0,3.8,5.3,22.0
2026-09-20 20:00:00,0.0,25.0,21.9,0.85,69.0,83.0,0.0,3.9,7.0,21.9
2026-09-20 21:00:00,0.0,24.7,21.9,0.64,39.0,84.0,0.0,4.4,8.6,21.9
2026-09-20 22:00:00,0.0,24.4,21.7,0.71,352.0,85.0,0.0,5.0,9.1,21.7
2026-09-20 23:00:00,0.0,23.9,21.8,1.24,346.0,88.0,0.0,5.5,9.1,21.8
2026-09-21 00:00:00,0.0,23.4,21.5,1.43,348.0,89.0,0.0,5.7,9.6,21.5
2026-09-21 01:00:00,0.0,23.1,21.2,1.55,345.0,89.0,0.0,5.1,7.5,21.2
2026-09-21 02:00:00,0.0,22.8,21.1,1.71,339.0,90.0,0.0,6.1,8.4,21.1
2026-09-21 03:00:00,0.0,22.5,21.0,1.8,341.0,91.0,0.0,6.4,8.9,21.0
2026-09-21 04:00:00,0.0,22.2,20.9,1.9,342.0,92.0,0.0,6.5,10.1,20.9
2026-09-21 05:00:00,0.0,22.0,20.9,1.99,342.0,93.0,0.0,7.0,11.4,20.9
2026-09-21 06:00:00,0.0,21.9,20.8,2.02,340.0,93.0,0.0,7.4,10.5,20.8
2026-09-21 07:00:00,41.0,22.2,20.8,1.9,342.0,92.0,0.0,7.5,12.6,20.8
2026-09-21 08:00:00,192.0,23.3,20.6,2.35,348.0,85.0,0.0,6.8,15.1,20.6
2026-09-21 09:00:00,383.0,24.7,20.2,2.55,349.0,76.0,0.0,6.9,14.3,20.2
